number_share,gain,time_spend,memory
no unit,euros,seconds,%
2,10.345175,0.0,56.8
3,19.622211999999998,0.0,56.8
4,32.765761999999995,0.0,56.8
5,38.91806199999999,0.0,56.8
6,52.74288599999999,0.0,56.8
7,57.032135999999994,0.0,56.8
8,68.201336,0.0,56.8
9,79.85826,0.0009968280792236328,56.8
10,85.884128,0.0009970664978027344,56.8
11,94.26975200000001,0.002991914749145508,56.8
12,105.874638,0.005984306335449219,56.8
13,121.508393,0.011914253234863281,56.8
14,134.651633,0.024933815002441406,56.8
15,144.786905,0.05189180374145508,56.8
16,148.300233,0.10774540901184082,56.8
17,160.707183,0.2243967056274414,56.8
18,170.528346,0.46479201316833496,56.8
19,177.391708,0.967266321182251,56.8
20,187.197949,2.015073776245117,56.8
21,196.61119200000002,3.0171942710876465,56.8
22,197.090774,6.249803781509399,56.9
23,197.090774,12.974710464477539,56.8
24,197.090774,26.837021350860596,57.2
25,198.392404,55.04627227783203,56.0
